rule_id,category,severity,title,pattern,match_mode,description,applies_country,applies_platform,revise_hint,effective_date,verified_by,verified_date,status
R001,promise,block,不得承诺具体赔偿金额,"(赔偿|赔付|补偿|退你|给您).{0,6}(\d+|[一二三四五六七八九十百千万]+)\s*(元|块|美元|欧元|美金|dollar|euro|USD|EUR|CNY|RMB|¥|\$|€)",violation,"对客户作出具体金额的补偿承诺",SCOPE_GLOBAL,SCOPE_GLOBAL,"删除金额承诺，改为""按平台流程为您处理""",2026-01-01,待法务确认,,seed
R002,promise,block,不得承诺具体到账或处理时效,"(保证|承诺|确保|一定).{0,8}(天|小时|工作日|tagen|days|días|jours).{0,6}(到账|退款|发出|到达|处理完|退回)",violation,"对处理时效作出确定性承诺",SCOPE_GLOBAL,SCOPE_GLOBAL,"改为""通常需要X个工作日""，且X须来自有效政策条款",2026-01-01,待法务确认,,seed
R003,promise,block,不得承诺全额赔偿,"(保证|一定|肯定|100%).{0,6}(全额|全部|所有).{0,4}(退款|赔偿|赔付|退还)",violation,"对赔偿范围作绝对承诺",SCOPE_GLOBAL,SCOPE_GLOBAL,"改为""您可以选择退款或换货，我们会配合处理""",2026-01-01,待法务确认,,seed
R004,privacy,block,不得索要支付凭证类敏感信息,"(银行卡|卡号|CVV|CVC|信用卡|密码|验证码|短信码|身份证|护照|tarjeta|contraseña|Kennwort|mot de passe|password)",violation,"索要支付或身份类敏感信息",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除；售后处理不得索取此类信息",2026-01-01,待法务确认,,seed
R005,platform_rule,block,不得引导站外交易或私下联系,"(加我|加个|私聊|私下|线下|站外|微信|wechat|whatsapp|telegram|line|私域|转给我)",violation,"引导客户脱离平台私下交易",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除；所有沟通与赔付须在平台内完成",2026-01-01,待法务确认,,seed
R006,platform_rule,block,不得诱导好评或施压改评,"(改|删|取消|去掉).{0,4}(差评|评价|review|reseña|Bewertung|avis)|给.{0,3}(五星|好评|5星)|(五星|好评).{0,6}(就|才|再).{0,4}(退款|补偿|处理)",violation,"以利益换取或施压干预评价",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除；不得以任何形式提及评价与补偿的交换",2026-01-01,待法务确认,,seed
R007,platform_rule,block,不得虚构物流信息,"(已经发出|已发货).{0,10}(其实|实际|并未|没有)|(虚假|伪造).{0,4}(单号|物流|轨迹)",violation,"虚构发货事实或物流信息",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除；仅可引用真实物流轨迹",2026-01-01,待法务确认,,seed
R008,advertising,revise,不得使用绝对化用语,"(最好|最佳|最优|最强|唯一|独家|全网最|史上最|100%|百分百|绝对|永久|永不|国家级|世界级|顶级|第一品牌|全国第一|行业第一|销量第一|排名第一|第一家|首个|首家|绝无仅有|独一无二)",violation,"广告法禁止的绝对化表述。注意：不可写成裸的""第一""，否则""第一时间""会被误杀",SCOPE_GLOBAL,SCOPE_GLOBAL,"改为可验证的具体表述（如""经检测符合XX标准""）",2026-01-01,待法务确认,,seed
R009,advertising,block,不得做无依据功效宣称,"(抗菌|防螨|抗过敏|防癌|抗癌|治疗|医疗|保健|瘦身|减肥|养生|杀菌|抗病毒)",violation,"无第三方依据的功效宣称",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除；如有检测报告须标注报告编号",2026-01-01,待法务确认,,seed
R010,advertising,block,不得虚假材质宣称,"(100%|纯|全).{0,3}(真丝|桑蚕丝|羊绒|羊毛|棉|亚麻|真皮|牛皮)",violation,"材质宣称与吊牌或检测不符即构成虚假宣传",SCOPE_GLOBAL,SCOPE_GLOBAL,"改为吊牌标注的实际成分与比例",2026-01-01,待法务确认,,seed
R011,discrimination,block,不得有国别民族宗教歧视表述,"(你们|贵国|那个国家).{0,6}(人|国家).{0,6}(都|就是|一向)|(黑人|白人|穆斯林|犹太|印度人|吉普赛)",violation,"对特定国别或族群的负面指涉",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除；不得对客户国籍或族群作任何评价",2026-01-01,待法务确认,,seed
R012,discrimination,block,不得评价客户体型,"(你|您).{0,4}(太胖|太瘦|胖|肥|身材|体型).{0,6}(了|吧|不适合|穿不下)|(胖|肥|瘦).{0,4}(人).{0,4}(适合|不合适)",violation,"对客户外形的冒犯性评价",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除；只描述服装尺寸数据，不评论客户身形",2026-01-01,待法务确认,,seed
R013,discrimination,block,不得涉及性别年龄冒犯,"(女人|男人).{0,6}(就是|都)|(老太婆|老女人|小姑娘家)|(你这种年龄)",violation,"基于性别或年龄的冒犯表述",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除",2026-01-01,待法务确认,,seed
R014,platform_rule,revise,不得替平台下判罚结论,"(平台|官方).{0,6}(一定|肯定|会|不会).{0,6}(判|支持|驳回|罚款)|这不归平台管|平台管不了",violation,"替平台作出规则解释或判罚承诺",SCOPE_GLOBAL,SCOPE_GLOBAL,"改为""平台将依据其规则处理，我们已按要求提交材料""",2026-01-01,待法务确认,,seed
R015,platform_rule,block,不得引导撤销平台争议,"(撤销|取消|撤掉).{0,6}(投诉|争议|纠纷|disputa|claim|case|申请).{0,10}(私下|另外|单独|给你)",violation,"以私下解决换取撤销平台争议",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除",2026-01-01,待法务确认,,seed
R016,privacy,revise,不得在会话中复述客户完整隐私信息,"(身份证号|手机号|电话是|邮箱是)\s*\d|\d{11}|\d{3}-\d{4}-\d{4}|[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}|地址是.{0,20}(号|路|街|室|栋|区|市)",violation,"在对外话术中复述客户隐私。注意：必须匹配到具体值，""地址是否正确""这类正常表述不应命中",SCOPE_GLOBAL,SCOPE_GLOBAL,"改为""您预留的地址或联系方式""",2026-01-01,待法务确认,,seed
R017,privacy,block,不得泄露或对比其他客户信息,"(另一个客户|其他客户|别的客人|那位客人的|otro cliente|anderer Kunde|un autre client)",violation,"泄露第三方客户信息",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除",2026-01-01,待法务确认,,seed
R018,cross_border,revise,欧盟订单须体现14天无理由退货权,"(退货|退款|devolución|retour|Rücksendung)",obligation,"涉及退货场景未告知欧盟法定14天无理由退货权",DE|FR|ES|IT|NL|BE|PL|AT|PT|IE|SE|DK|FI|GR|CZ|RO|HU,SCOPE_GLOBAL,"补充""根据欧盟消费者保护规定，您享有14天内无理由退货的权利""",2026-01-01,待法务确认,,seed
R019,cross_border,revise,德国订单须提示撤回权,"(退货|退款|Rücksendung|Widerruf)",obligation,"德国场景未提示Widerrufsrecht撤回权",DE,SCOPE_GLOBAL,"补充""根据德国法律规定，您享有撤回权（Widerrufsrecht）""",2026-01-01,待法务确认,,seed
R020,cross_border,block,不得要求客户承担质量问题退货运费,"(运费|邮费|Versandkosten|gastos de envío|frais de port).{0,10}(由您|您自己|自行|客户承担|您来付|到付)",violation,"将依法应由商家承担的质量问题退货运费转嫁客户",DE|FR|ES|IT|NL|BE|GB|AT|PT|IE|SE|DK|FI,SCOPE_GLOBAL,"改为""退货运费由我们承担""，或按平台规则明确承担方",2026-01-01,待法务确认,,seed
R021,cross_border,revise,不得引用已失效政策版本,"(政策版本|2020年之前生效的政策)",violation,"引用了已废止或未经核实的政策版本",SCOPE_GLOBAL,SCOPE_GLOBAL,"替换为现行有效版本并标注生效日期",2026-01-01,待法务确认,,seed
R022,promise,revise,不得下责任归属结论,"(确认是|就是|肯定是|确定是).{0,10}(运输|物流|快递|生产|工厂|供应商).{0,6}(造成|导致|问题)|责任在(物流|快递|运输|工厂|供应商)",violation,"在无认定依据前下责任结论",DE|FR|ES|IT|NL|GB|US,SCOPE_GLOBAL,"改为""我们正在与物流方核实，核实后会第一时间告知您""",2026-01-01,待法务确认,,seed
R023,advertising,revise,不得与其他品牌作贬低性对比,"(比|比得上).{0,6}(某品牌|XX品牌|其他牌子)|(某品牌|其他牌子).{0,6}(差远了|垃圾|不行)",violation,"不当比较或贬低竞品",SCOPE_GLOBAL,SCOPE_GLOBAL,"删除对比表述",2026-01-01,待法务确认,,seed
R024,promise,block,不得使用威胁恐吓语气,"(再不|如果不).{0,10}(就|将).{0,10}(报警|起诉|律师|曝光|拉黑|封号)|(你等着|后果自负)",violation,"威胁或恐吓客户",SCOPE_GLOBAL,SCOPE_GLOBAL,"立即删除；改为说明处理流程与时限",2026-01-01,待法务确认,,seed
R025,cross_border,revise,美国订单不得虚构资质认证,"(FDA|CPSC|UL).{0,6}(认证|认证过|approved)",violation,"无依据的美国资质宣称",US,SCOPE_GLOBAL,"删除或补充真实证书编号与范围",2026-01-01,待法务确认,,seed
