label,label_zh,category,description,signal_keywords_zh,signal_keywords_en,signal_keywords_es,signal_keywords_de,signal_keywords_fr,default_style,urgency_default,priority
refund,退款诉求,售后,客户希望退回已支付款项,退款|退钱|退我|要回我的钱|返款|把钱退|我的钱|退一下,refund / refunds / refunded / money back / my money / send the money / pay me back / reimburse / give me back,reembolso / reembolsar / devuélveme mi dinero / quiero mi dinero / devolverme el dinero / mi dinero,Rückerstattung / erstatten / Geld zurück / mein Geld / zurückzahlen,remboursement / rembourser / rendez-moi mon argent / mon argent,纠纷调解,high,1
exchange,换货诉求,售后,客户希望更换商品或尺码颜色,换货|换一件|换尺码|换颜色|调换|换个|替换,exchange / exchanges / replace / replacement / swap / different size,cambio / cambiar / reemplazar / sustituir,Umtausch / umtauschen / austauschen / ersetzen,échange / échanger / remplacer,安抚致歉,high,1
logistics,物流催件与丢件,物流,催发货、催件、物流停滞、包裹丢失,物流|快递|催件|还没到|没收到|没发货|丢件|快递不动|包裹|运单|什么时候到|还没来,where is my order / where is my / tracking / not arrived / never arrived / not received / hasn't arrived / lost package / still waiting / nobody answers / no update,dónde está mi pedido / seguimiento / no ha llegado / nunca llegó / no lo he recibido / paquete perdido / sin actualizar,Wo ist meine Bestellung / Sendungsverfolgung / nicht angekommen / nie angekommen / nicht erhalten / Paket verloren / keine Updates,où est ma commande / suivi / pas arrivé / jamais arrivé / non reçu / colis perdu,安抚致歉,high,1
quality_defect,质量投诉,质量,做工、破损、污渍、异味、开线、小部件脱落,质量|破了|破损|污渍|脏|开线|线头|做工|异味|瑕疵|次品|坏的|烂的|有问题|掉扣|脱线|小部件|绳带,defective / defect / broken / damaged / stain / stains / bad quality / poor quality / loose part / small part / loose thread / fell apart / falling apart / torn / hole / smell / odor / rip,defectuoso / defecto / roto / mancha / manchas / mala calidad / pieza suelta / rasgado / agujero / olor,defekt / kaputt / Fleck / Flecken / schlechte Qualität / loses Teil / kleines Teil / gerissen / Loch / Geruch,défectueux / défaut / cassé / tache / taches / mauvaise qualité / pièce détachée / déchiré / trou / odeur,安抚致歉,high,1
color_diff,色差,质量,颜色与图片或描述不符,色差|颜色不一样|颜色不对|和图片不符|跟图片不一样|颜色差|颜色深|颜色浅,color different / different color / not the same color / color mismatch / wrong color / color is off,diferencia de color / no es el mismo color / color equivocado / otro color,Farbe anders / Farbabweichung / falsche Farbe / andere Farbe,couleur différente / pas la même couleur / mauvaise couleur,安抚致歉,medium,1
sizing,尺码问题,尺码,尺码偏大偏小、尺码表不准,尺码|大小不对|偏大|偏小|太小|太大|穿不下|尺寸不准|码数|不合身|大了|小了,too small / too big / too tight / too loose / wrong size / size chart / sizing / doesn't fit / does not fit,demasiado pequeño / demasiado grande / talla incorrecta / no me queda / tabla de tallas,zu klein / zu groß / Größe falsch / passt nicht / Größentabelle,trop petit / trop grand / taille incorrecte / ne me va pas / guide des tailles,专业答疑,medium,2
negative_review,差评维权,评价,已给差评或威胁差评、要求删除评价,差评|一星|1星|评价|维权|投诉到平台|找平台|曝光|举报|给差评|留差评,negative review / bad review / 1 star / one star / bad rating / will leave a review / complain to the platform / report you / escalate / dispute the order,reseña negativa / mala valoración / 1 estrella / me quejaré / reclamar a la plataforma,negative Bewertung / schlechte Bewertung / 1 Stern / beschwere mich / melde,avis négatif / mauvaise note / 1 étoile / je vais me plaindre / signaler,纠纷调解,critical,1
repurchase,复购咨询,营销,想再次购买、咨询是否有货,复购|再买|还想买|再下单|有货吗|补货|回购|再来一件|还有吗,repurchase / buy again / restock / do you have more / reorder / order again / another one,comprar otra vez / volver a comprar / tienen más / otro más,nachkaufen / wieder bestellen / haben Sie noch / nochmal bestellen,racheter / en avez-vous encore / commander à nouveau,营销促单,medium,3
product_info,产品咨询,售前,面料成分、洗涤保养、使用说明,面料|材质|成分|怎么洗|洗涤|保养|起球|缩水|掉色|怎么穿|会不会缩水|如何清洗,fabric / material / composition / how to wash / how do i wash / wash / washing / care instructions / shrink / shrinkage / pilling / fade / fading,tejido / composición / cómo lavar / lavar / cuidado / encoger / encogimiento / bolitas,Stoff / Material / Zusammensetzung / wie wasche / waschen / Pflegehinweis / einlaufen / Pilling,tissu / composition / comment laver / laver / entretien / rétrécir / bouloches,专业答疑,low,3
payment,支付问题,支付,扣款未成功、重复付款、支付失败,支付|付款|扣款|重复付款|支付失败|扣了两次|没扣成功|扣钱,payment failed / payment / double charged / charged twice / charged me twice / cannot pay / payment issue,pago fallido / cobro duplicado / dos veces / no puedo pagar,Zahlung fehlgeschlagen / doppelt abgebucht / Zahlung / kann nicht zahlen,paiement échoué / double débit / paiement / ne peux pas payer,合规告知,high,2
customs,关税与清关,物流,关税、清关被扣、额外费用,关税|清关|被扣|海关|税费|扣关|报关|税,customs / duty / duties / tax / taxes / held at customs / stuck in customs / clearance,aduana / aduanas / arancel / impuesto / retenido en aduana,Zoll / Zollgebühren / beim Zoll / Verzollung / Steuer,douane / droits / taxe / bloqué en douane,合规告知,medium,2
invoice,发票需求,财务,索要发票或收据,发票|收据|开票|要发票|开发票,invoice / receipt / VAT invoice / tax invoice,factura / recibo / IVA,Rechnung / Beleg / Umsatzsteuer,facture / reçu / TVA,合规告知,low,3
complaint_service,服务态度投诉,服务,客服不回复、态度差、处理慢,客服|不理我|态度差|没人回复|回复慢|服务差|敷衍|没人管|没人理,no reply / nobody replies / bad service / ignored me / poor attitude / no response / unhelpful,no responden / mal servicio / me ignoran / sin respuesta,keine Antwort / schlechter Service / ignoriert / antwortet nicht,aucune réponse / mauvais service / ignoré,安抚致歉,high,2
other,其他,兜底,以上意图均不匹配,,,,,,安抚致歉,high,4
