doc_id,country,region,policy_name,policy_name_local,key_rule,return_window_days,return_shipping_payer,effective_date,source_url,applies_platform,review_cycle_days,verified_by,verified_date,status
EU-DIR-2011-83,EU,EU,消费者权利指令（远程合同撤回权）,Directive 2011/83/EU on consumer rights,远程或场外签订的合同，消费者享有14天无理由撤回权，无需说明理由；撤回期内退回商品的直接费用原则上由消费者承担，但商家未事先告知时由商家承担,14,消费者（除商家未告知或商品有瑕疵）,2014-06-13,https://eur-lex.europa.eu/eli/dir/2011/83/oj,ALL,180,待法务确认,,seed
EU-REG-2023-988,EU,EU,通用产品安全条例 GPSR,Regulation (EU) 2023/988 on general product safety,在欧盟销售消费品须有欧盟境内责任人、可追溯信息与合规标识；线上销售须在商品页披露安全与警示信息,NA,NA,2024-12-13,https://eur-lex.europa.eu/eli/reg/2023/988/oj,ALL,180,待法务确认,,seed
DE-BGB-355,DE,EU,德国民法典撤回权,Widerrufsrecht (§ 355 BGB),消费者在14天内可无理由撤回合同；商家有义务在订立合同前以清晰方式告知撤回权，未告知则撤回期延长,14,消费者（瑕疵商品由商家承担）,2002-01-01,https://www.gesetze-im-internet.de/bgb/__355.html,ALL,180,待法务确认,,seed
DE-BGB-357,DE,EU,退货费用承担规则,Rückgewährpflichten (§ 357 BGB),消费者行使撤回权时，退回商品的直接费用可由消费者承担，前提是商家已有效告知；商品存在瑕疵时不得由消费者承担,14,消费者（须已有效告知）/ 瑕疵由商家承担,2014-06-13,https://www.gesetze-im-internet.de/bgb/__357.html,ALL,180,待法务确认,,seed
FR-CONSO-L221-18,FR,EU,法国消费者法典撤回权,"Droit de rétractation (Code de la consommation, art. L221-18)",远程销售消费者享有14天撤回权，自收到商品次日起算；商家须提供标准化撤回表格,14,消费者（未告知时由商家承担）,2014-06-14,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000032226745,ALL,180,待法务确认,,seed
ES-TRLGDCU-102,ES,EU,西班牙消费者权益法撤回权,"Derecho de desistimiento (TRLGDCU, art. 102)",消费者享有14天撤回权，无需说明理由；商品存在瑕疵时消费者可选择维修、更换、降价或解除合同,14,消费者（瑕疵由商家承担）,2014-03-27,https://www.boe.es/buscar/act.php?id=BOE-A-2007-20555,ALL,180,待法务确认,,seed
ES-TRLGDCU-118,ES,EU,西班牙商品瑕疵救济顺位,"Conformidad de los bienes (TRLGDCU, art. 118-121)",商品不符合约定时，消费者有权要求修复或更换；不能修复更换时可要求降价或解除合同（退款）,NA,商家,2014-03-27,https://www.boe.es/buscar/act.php?id=BOE-A-2007-20555,ALL,180,待法务确认,,seed
IT-CODICE-52,IT,EU,意大利消费者法典撤回权,"Diritto di recesso (Codice del consumo, art. 52)",远程销售消费者享有14天撤回权,14,消费者（瑕疵由商家承担）,2014-06-13,https://www.normattiva.it,ALL,180,待法务确认,,seed
GB-CCR-2013,GB,GB,英国消费者合同（信息、取消与额外收费）条例,"Consumer Contracts (Information, Cancellation and Additional Charges) Regulations 2013",远程销售合同消费者享有14天取消权，自收货起算；须事先告知否则取消期延长至12个月,14,消费者（未告知时由商家承担）,2014-06-13,https://www.legislation.gov.uk/uksi/2013/3134/contents,ALL,180,待法务确认,,seed
GB-CRA-2015,GB,GB,英国消费者权益法,Consumer Rights Act 2015,商品不符合质量要求时，消费者有权在30天内拒绝并获全额退款（short-term right to reject）,30,商家,2015-10-01,https://www.legislation.gov.uk/ukpga/2015/15/contents,ALL,180,待法务确认,,seed
